Time,Open,High,Low,Latest,Change,%Change,Volume
4/06/2025,0.3,0.315,0.292,0.305,0,0.00%,445781
5/06/2025,0.305,0.315,0.305,0.315,0.01,3.28%,271815
6/06/2025,0.315,0.32,0.3,0.3,-0.015,-4.76%,382096
10/06/2025,0.3,0.305,0.285,0.3,0,0.00%,671169
11/06/2025,0.31,0.31,0.282,0.285,-0.015,-5.00%,1140577
12/06/2025,0.29,0.292,0.285,0.29,0.005,1.75%,270005
13/06/2025,0.29,0.29,0.275,0.29,0,0.00%,1097104
16/06/2025,0.285,0.29,0.265,0.265,-0.025,-8.62%,1414969
17/06/2025,0.275,0.285,0.265,0.265,0,0.00%,1955133
18/06/2025,0.265,0.265,0.255,0.26,-0.005,-1.89%,1444418
19/06/2025,0.255,0.26,0.25,0.25,-0.01,-3.85%,678297
20/06/2025,0.255,0.262,0.25,0.26,0.01,4.00%,891149
23/06/2025,0.26,0.26,0.245,0.245,-0.015,-5.77%,967826
24/06/2025,0.245,0.26,0.245,0.25,0.005,2.04%,1196450
25/06/2025,0.255,0.265,0.25,0.25,0,0.00%,735366
26/06/2025,0.255,0.255,0.25,0.25,0,0.00%,760672
27/06/2025,0.255,0.255,0.233,0.24,-0.01,-4.00%,3384009
30/06/2025,0.24,0.25,0.235,0.24,0,0.00%,1015747
1/07/2025,0.235,0.26,0.235,0.245,0.005,2.08%,1059306
2/07/2025,0.255,0.255,0.24,0.245,0,0.00%,642931
3/07/2025,0.245,0.245,0.235,0.24,-0.005,-2.04%,634741
4/07/2025,0.24,0.25,0.24,0.245,0.005,2.08%,262603
7/07/2025,0.245,0.255,0.237,0.24,-0.005,-2.04%,689537
8/07/2025,0.24,0.25,0.235,0.25,0.01,4.17%,250064
9/07/2025,0.245,0.245,0.23,0.23,-0.02,-8.00%,990301
10/07/2025,0.235,0.235,0.23,0.235,0.005,2.17%,621394
11/07/2025,0.235,0.24,0.23,0.235,0,0.00%,523813
14/07/2025,0.235,0.24,0.235,0.24,0.005,2.13%,586029
