Time,Open,High,Low,Latest,Change,%Change,Volume
2022-09-21,163.526,163.925,162.223,162.349,-1.175,-0.72%,536934
2022-09-22,162.343,164.421,159.109,160.159,-2.19,-1.35%,586243
2022-09-23,160.165,160.435,155.3,155.3,-4.859,-3.03%,584042
2022-09-26,154.941,157.181,148.809,154.651,-0.649,-0.42%,703196
2022-09-27,154.653,156.352,154.094,155.305,0.654,+0.42%,632762
2022-09-28,155.306,157.08,152.558,156.899,1.594,+1.03%,659098
2022-09-29,156.896,160.584,155.599,160.378,3.479,+2.22%,658951
2022-09-30,160.388,162.169,159.425,161.618,1.24,+0.77%,644966
2022-10-03,161.269,163.877,160.565,163.421,1.803,+1.12%,543996
2022-10-04,163.436,165.529,163.415,165.109,1.688,+1.03%,568966
2022-10-05,165.121,165.707,162.602,163.768,-1.341,-0.81%,568148
2022-10-06,163.769,164.428,161.098,161.936,-1.832,-1.12%,577424
2022-10-07,161.93,162.589,160.762,161.218,-0.718,-0.44%,526994
2022-10-10,161.137,161.495,160.434,160.995,-0.223,-0.14%,399463
2022-10-11,160.998,162.653,159.721,159.833,-1.162,-0.72%,587040
2022-10-12,159.822,163.312,159.733,163.034,3.201,+2.00%,615740
2022-10-13,163.032,167.261,162.316,166.436,3.402,+2.09%,592459
2022-10-14,166.391,167.191,165.026,166.107,-0.329,-0.20%,583468
2022-10-17,167.256,170.082,166.488,169.262,3.155,+1.90%,545635
2022-10-18,169.233,169.758,167.613,168.932,-0.33,-0.19%,573226
2022-10-19,168.929,169.354,167.63,168.084,-0.848,-0.50%,589145
2022-10-20,168.088,169.712,167.419,168.707,0.623,+0.37%,605553
2022-10-21,168.703,169.569,164.509,166.718,-1.989,-1.18%,666962
2022-10-24,167.078,169.757,165.555,167.979,1.261,+0.76%,611588
2022-10-25,167.976,169.927,167.813,169.665,1.686,+1.00%,522772
2022-10-26,169.661,170.592,169.323,169.997,0.332,+0.20%,591074
2022-10-27,169.989,170.239,168.705,169.129,-0.868,-0.51%,623048
2022-10-28,169.13,171.356,168.876,171.109,1.98,+1.17%,575001
2022-10-31,171.092,172.111,170.328,170.502,-0.607,-0.35%,454368
2022-11-01,170.503,170.932,169.487,170.185,-0.317,-0.19%,545659
2022-11-02,170.176,170.29,168.309,168.473,-1.712,-1.01%,523504
2022-11-03,168.457,168.545,165.093,165.368,-3.105,-1.84%,542287
2022-11-04,165.293,166.955,165.141,166.784,1.416,+0.86%,463956
2022-11-07,165.925,169.087,165.87,168.671,1.887,+1.13%,508446
2022-11-08,168.67,169.062,167.298,168.048,-0.623,-0.37%,507693
2022-11-09,168.052,168.312,165.973,166.241,-1.807,-1.08%,572551
2022-11-10,166.244,167.335,164.369,165.077,-1.164,-0.70%,582335
2022-11-11,165.064,166.078,163.067,164.201,-0.876,-0.53%,642338
2022-11-14,164.092,165.709,163.578,164.448,0.247,+0.15%,560307
2022-11-15,164.402,166.202,164.32,165.266,0.818,+0.50%,654405
2022-11-16,165.246,166.37,164.674,166.223,0.957,+0.58%,629061
2022-11-17,166.211,166.366,165.192,166.317,0.094,+0.06%,586017
2022-11-18,166.316,167.306,166.124,166.863,0.546,+0.33%,521280
2022-11-21,167.365,168.032,166.081,168.003,1.14,+0.68%,472496
2022-11-22,168.005,168.284,167.347,167.839,-0.164,-0.10%,474508
2022-11-23,167.838,168.994,167.714,168.258,0.419,+0.25%,496096
2022-11-24,168.258,168.273,167.155,167.905,-0.353,-0.21%,461405
2022-11-25,167.876,168.783,167.623,168.252,0.347,+0.21%,405342
2022-11-28,168.101,168.174,165.832,166.142,-2.11,-1.25%,519186
2022-11-29,166.139,166.664,165.529,165.757,-0.385,-0.23%,549472
2022-11-30,165.757,167.352,165.51,166.443,0.686,+0.41%,489925
2022-12-01,166.445,167.15,164.505,165.84,-0.603,-0.36%,434996
2022-12-02,165.839,165.973,164.035,165.066,-0.774,-0.47%,580059
2022-12-05,165.034,166.812,164.923,166.774,1.708,+1.03%,522038
2022-12-06,166.769,167.486,166.137,166.246,-0.528,-0.32%,526626
2022-12-07,166.244,167.418,165.95,166.742,0.496,+0.30%,567630
2022-12-08,166.74,167.34,166.28,167.242,0.5,+0.30%,488260
2022-12-09,167.241,168.062,166.501,167.484,0.242,+0.14%,544289
2022-12-12,167.488,169.024,167.128,168.917,1.433,+0.86%,455030
2022-12-13,168.921,169.284,167.104,167.679,-1.238,-0.73%,592805
2022-12-14,167.679,168.386,166.733,168.349,0.67,+0.40%,603406
2022-12-15,168.348,168.837,167.63,167.776,-0.573,-0.34%,590595
2022-12-16,167.776,168.005,165.961,165.971,-1.805,-1.08%,537650
2022-12-19,165.132,166.896,165.13,166.297,0.326,+0.20%,456737
2022-12-20,166.298,167.011,158.605,160.473,-5.824,-3.50%,620909
2022-12-21,160.474,161.035,159.482,160.071,-0.402,-0.25%,531550
2022-12-22,160.071,160.259,158.815,159.407,-0.664,-0.41%,474854
2022-12-23,159.402,160.546,159.114,160.06,0.653,+0.41%,390254
2022-12-26,160.107,160.9,159.735,160.34,0.28,+0.17%,16910
2022-12-27,160.339,160.949,160.198,160.629,0.289,+0.18%,422989
2022-12-28,160.626,162.334,160.446,161.639,1.01,+0.63%,453583
2022-12-29,161.634,161.634,160.062,160.381,-1.258,-0.78%,390009
2022-12-30,160.382,160.478,157.843,158.608,-1.773,-1.11%,458694
2023-01-02,158.596,158.596,157.372,157.417,-1.191,-0.75%,106389
2023-01-03,157.43,158.394,155.366,156.778,-0.639,-0.41%,559635
2023-01-04,156.781,160.174,156.513,159.902,3.124,+1.99%,582416
2023-01-05,159.902,160.044,158.513,158.905,-0.997,-0.62%,531393
2023-01-06,158.896,160.022,158.755,159.756,0.851,+0.54%,570185
2023-01-09,160.013,161.231,159.313,160.695,0.939,+0.59%,522365
2023-01-10,160.694,160.941,160.054,160.679,-0.016,-0.01%,547780
2023-01-11,160.679,161.213,160.515,160.956,0.277,+0.17%,494167
2023-01-12,160.956,160.956,157.732,157.904,-3.052,-1.90%,628912
2023-01-13,157.896,158.049,155.649,156.409,-1.495,-0.95%,517207
2023-01-16,156.509,157.077,156.193,156.721,0.312,+0.20%,430854
2023-01-17,156.785,158.023,156.397,157.463,0.742,+0.47%,555983
2023-01-18,157.462,161.53,157.383,159.167,1.704,+1.08%,592324
2023-01-19,159.165,159.227,157.577,159.143,-0.024,-0.02%,538762
2023-01-20,159.142,161.289,159.052,160.572,1.429,+0.90%,470222
2023-01-23,160.775,161.804,160.375,161.748,1.176,+0.73%,438949
2023-01-24,161.749,161.803,160,160.613,-1.135,-0.70%,442962
2023-01-25,160.6,160.933,159.512,160.721,0.108,+0.07%,436859
2023-01-26,160.723,161.734,160.016,161.609,0.888,+0.55%,472350
2023-01-27,161.611,161.613,160.413,160.97,-0.639,-0.40%,386905
2023-01-30,160.642,161.419,160.213,161.113,0.143,+0.09%,427288
2023-01-31,161.114,161.195,159.773,160.254,-0.859,-0.53%,445465
2023-02-01,160.254,160.673,158.915,159.548,-0.706,-0.44%,483484
2023-02-02,159.547,159.61,157.187,157.353,-2.195,-1.38%,535241
2023-02-03,157.352,158.752,156.735,158.134,0.781,+0.50%,501065
2023-02-06,159.353,159.948,158.545,159.427,1.293,+0.82%,472214
2023-02-07,159.424,159.583,157.432,157.924,-1.503,-0.94%,540185
2023-02-08,157.922,158.837,157.617,158.66,0.736,+0.47%,468303
2023-02-09,158.656,159.511,158.304,159.429,0.769,+0.48%,477051
2023-02-10,159.436,159.634,157.541,158.46,-0.969,-0.61%,517575
2023-02-13,158.882,161.201,158.415,160.727,2.267,+1.43%,423614
2023-02-14,160.726,162.176,160.113,162.062,1.335,+0.83%,553705
2023-02-15,162.063,162.09,160.789,161.459,-0.603,-0.37%,467159
2023-02-16,161.457,161.513,160.473,160.584,-0.875,-0.54%,483500
2023-02-17,160.584,161.649,160.504,161.549,0.965,+0.60%,428755
2023-02-20,161.68,161.727,161.175,161.678,0.129,+0.08%,333358
2023-02-21,161.675,163.759,161.44,163.534,1.856,+1.15%,444519
2023-02-22,163.533,163.599,162.394,162.53,-1.004,-0.61%,453667
2023-02-23,162.529,162.852,161.677,161.816,-0.714,-0.44%,402975
2023-02-24,161.815,163.12,161.214,162.986,1.17,+0.72%,497145
2023-02-27,163.025,164.35,162.615,164.343,1.357,+0.83%,406392
2023-02-28,164.343,166.008,163.721,163.765,-0.578,-0.35%,389894
2023-03-01,163.766,164.511,162.873,163.821,0.056,+0.03%,462375
2023-03-02,163.822,163.933,163.081,163.402,-0.419,-0.26%,464588
2023-03-03,163.4,163.644,163.109,163.611,0.209,+0.13%,409030
2023-03-06,163.874,163.876,162.987,163.471,-0.14,-0.09%,367790
2023-03-07,163.47,163.863,162.056,162.2,-1.271,-0.78%,426571
2023-03-08,162.215,162.984,161.72,162.694,0.494,+0.30%,418557
2023-03-09,162.695,162.695,161.614,162.357,-0.337,-0.21%,388947
2023-03-10,162.356,164.232,161.959,162.523,0.166,+0.10%,557057
2023-03-13,162.632,163.05,160.051,162.283,-0.24,-0.15%,653549
2023-03-14,162.282,164.082,161.871,163.185,0.902,+0.56%,610156
2023-03-15,163.185,164.146,159.214,160.857,-2.328,-1.43%,712107
2023-03-16,160.857,162.114,158.571,161.955,1.098,+0.68%,654121
2023-03-17,161.954,162.178,160.119,160.616,-1.339,-0.83%,536309
2023-03-20,161.026,161.733,158.969,161.236,0.62,+0.39%,572467
2023-03-21,161.236,162.263,160.773,161.876,0.64,+0.40%,435444
2023-03-22,161.879,163.341,160.798,161.243,-0.633,-0.39%,447937
2023-03-23,161.242,161.854,159.944,160.777,-0.466,-0.29%,529877
2023-03-24,160.777,160.852,158.271,159.903,-0.874,-0.54%,498147
2023-03-27,159.816,161.844,159.756,161.679,1.776,+1.11%,405635
2023-03-28,161.676,161.777,160.735,161.525,-0.154,-0.10%,412318
2023-03-29,161.527,163.681,161.358,163.627,2.102,+1.30%,412754
2023-03-30,163.626,164.453,162.985,164.396,0.769,+0.47%,402979
2023-03-31,164.39,165.471,163.631,163.755,-0.641,-0.39%,417901
2023-04-03,164.106,164.897,163.432,164.438,0.683,+0.42%,412090
2023-04-04,164.439,166.398,164.191,164.646,0.208,+0.13%,397054
2023-04-05,164.64,164.696,162.808,163.652,-0.994,-0.60%,383575
2023-04-06,163.644,164.14,162.907,163.918,0.266,+0.16%,306230
2023-04-07,163.913,164.348,163.611,164.08,0.162,+0.10%,224977
2023-04-10,165.602,165.603,163.813,165.436,1.356,+0.83%,330745
2023-04-11,165.436,166.195,165.197,166.139,0.703,+0.42%,352534
2023-04-12,166.136,166.599,165.398,166.242,0.103,+0.06%,389233
2023-04-13,166.24,166.837,165.415,166.021,-0.221,-0.13%,370952
2023-04-14,166.02,166.234,165.416,166.102,0.081,+0.05%,388268
2023-04-17,167.883,167.883,165.698,166.459,0.357,+0.21%,341288
2023-04-18,166.458,167.012,166.177,166.646,0.187,+0.11%,346224
2023-04-19,166.646,167.976,166.492,167.59,0.944,+0.57%,368195
2023-04-20,167.592,167.709,166.847,167.046,-0.544,-0.32%,374228
2023-04-21,167.038,167.097,165.527,166.89,-0.156,-0.09%,348431
2023-04-24,166.716,167.725,166.547,167.604,0.714,+0.43%,332907
2023-04-25,167.603,167.956,165.428,165.947,-1.657,-0.99%,388361
2023-04-26,165.953,167.014,165.652,166.675,0.728,+0.44%,446615
2023-04-27,166.675,167.53,166.334,167.487,0.812,+0.49%,389116
2023-04-28,167.484,171.191,166.556,171.188,3.701,+2.21%,399374
2023-05-01,171.765,172.096,170.996,171.794,0.606,+0.35%,297167
2023-05-02,171.795,172.318,169.946,170.234,-1.56,-0.91%,422038
2023-05-03,170.238,170.373,169.143,169.272,-0.962,-0.57%,446722
2023-05-04,169.267,169.536,168.061,168.845,-0.427,-0.25%,536997
2023-05-05,168.845,170.627,168.694,170.324,1.479,+0.88%,386325
2023-05-08,173.131,173.132,170.186,170.517,0.193,+0.11%,330441
2023-05-09,170.516,170.713,169.865,170.684,0.167,+0.10%,394104
2023-05-10,170.679,171.179,169.114,169.646,-1.038,-0.61%,412670
2023-05-11,169.644,169.735,167.844,168.353,-1.293,-0.76%,451280
2023-05-12,168.356,169.132,168.196,168.964,0.611,+0.36%,379240
2023-05-15,170.226,170.622,168.994,170.528,1.564,+0.93%,338811
2023-05-16,170.526,170.831,169.41,170.294,-0.234,-0.14%,376594
2023-05-17,170.296,172.013,170.123,171.942,1.648,+0.97%,369194
2023-05-18,171.941,172.16,171.195,172.119,0.177,+0.10%,385710
2023-05-19,172.12,172.51,171.252,171.652,-0.467,-0.27%,427666
2023-05-22,171.86,172.582,171.207,172.379,0.727,+0.42%,373565
2023-05-23,172.378,172.623,171.293,172.05,-0.329,-0.19%,421197
2023-05-24,172.051,172.794,171.237,172.455,0.405,+0.24%,438517
2023-05-25,172.454,172.772,171.718,172.573,0.118,+0.07%,436418
2023-05-26,172.575,173.759,172.233,173.636,1.063,+0.62%,389307
2023-05-29,173.688,173.972,172.953,173.55,-0.086,-0.05%,231316
2023-05-30,173.527,174.276,173.003,173.513,-0.037,-0.02%,419532
2023-05-31,173.515,173.657,172.531,173.365,-0.148,-0.09%,404714
2023-06-01,173.364,174.108,172.978,173.86,0.495,+0.29%,382455
2023-06-02,173.862,174.679,173.753,174.263,0.403,+0.23%,349657
2023-06-05,174.476,174.476,172.857,173.579,-0.684,-0.39%,326591
2023-06-06,173.577,173.774,172.681,173.49,-0.089,-0.05%,341741
2023-06-07,173.49,174.437,172.678,174.319,0.829,+0.48%,376074
2023-06-08,174.319,174.519,173.91,174.49,0.171,+0.10%,378454
2023-06-09,174.489,175.544,174.312,175.32,0.83,+0.48%,354831
2023-06-12,175.52,175.764,174.362,174.679,-0.641,-0.37%,335224
2023-06-13,174.679,176.864,174.469,176.843,2.164,+1.24%,400562
2023-06-14,176.846,177.42,176.45,177.42,0.577,+0.33%,416125
2023-06-15,177.404,179.4,177.269,179.342,1.922,+1.08%,443223
2023-06-16,179.34,182.044,178.834,181.888,2.546,+1.42%,434593
2023-06-19,182.238,182.339,181.228,181.552,-0.336,-0.18%,192580
2023-06-20,181.653,182.09,179.934,180.55,-1.002,-0.55%,436950
2023-06-21,180.551,181.601,179.931,181.151,0.601,+0.33%,455993
2023-06-22,181.153,182.554,180.725,182.43,1.279,+0.71%,416835
2023-06-23,182.409,182.947,181.278,182.749,0.319,+0.17%,454775
2023-06-26,182.447,182.994,181.692,182.425,-0.324,-0.18%,400285
2023-06-27,182.427,183.764,182.242,183.677,1.252,+0.69%,425254
2023-06-28,183.679,183.694,182.147,182.564,-1.113,-0.61%,442413
2023-06-29,182.566,182.877,182.222,182.612,0.048,+0.03%,427705
2023-06-30,182.612,183.874,182.207,183.23,0.618,+0.34%,428743
2023-07-03,183.228,183.763,183.103,183.614,0.384,+0.21%,365547
2023-07-04,183.613,183.915,183.236,183.687,0.073,+0.04%,280911
2023-07-05,183.68,184.011,183.158,183.776,0.089,+0.05%,355603
2023-07-06,183.776,184.005,182.511,183.54,-0.236,-0.13%,443575
2023-07-07,183.539,183.596,182.027,182.525,-1.015,-0.55%,427403
2023-07-10,182.524,183.224,181.101,181.735,-0.79,-0.43%,364491
2023-07-11,181.747,181.997,180.816,181.51,-0.225,-0.12%,391054
2023-07-12,181.516,181.543,179.486,179.884,-1.626,-0.90%,438429
2023-07-13,179.883,181.467,179.503,181.353,1.469,+0.82%,422707
2023-07-14,181.343,182.287,180.216,181.702,0.349,+0.19%,498467
2023-07-17,181.955,182.149,180.577,181.35,-0.352,-0.19%,406697
2023-07-18,181.344,181.84,180.372,180.983,-0.367,-0.20%,490462
2023-07-19,180.984,181.628,179.826,180.77,-0.213,-0.12%,489601
2023-07-20,180.741,180.741,179.736,180.245,-0.525,-0.29%,464317
2023-07-21,180.235,182.527,179.92,182.318,2.073,+1.15%,478110
2023-07-24,182.416,182.416,180.768,181.42,-0.898,-0.49%,466353
2023-07-25,181.452,182.015,181.161,181.816,0.396,+0.22%,427553
2023-07-26,181.813,181.991,180.921,181.51,-0.306,-0.17%,497547
2023-07-27,181.491,181.927,177.42,178.482,-3.028,-1.67%,601117
2023-07-28,178.48,181.496,176.339,181.348,2.866,+1.61%,591456
2023-07-31,181.622,183.195,180.881,182.606,1.258,+0.69%,510039
2023-08-01,182.607,183.257,182.596,183.13,0.524,+0.29%,472480
2023-08-02,183.132,183.137,181.762,182.193,-0.937,-0.51%,540820
2023-08-03,182.168,182.764,180.472,181.134,-1.059,-0.58%,563468
2023-08-04,181.139,181.746,180.661,180.757,-0.377,-0.21%,536382
2023-08-07,181.07,182.194,180.593,182.134,1.377,+0.76%,431084
2023-08-08,182.145,182.959,181.394,182.776,0.642,+0.35%,518448
2023-08-09,182.786,183.018,182.382,182.811,0.035,+0.02%,458182
2023-08-10,182.816,184.241,182.687,183.485,0.674,+0.37%,498547
2023-08-11,183.479,184.239,183.412,184.036,0.551,+0.30%,488631
2023-08-14,183.734,184.613,183.471,184.604,0.568,+0.31%,467809
2023-08-15,184.656,185.329,184.354,184.947,0.343,+0.19%,515807
2023-08-16,184.943,186.316,184.7,186.289,1.342,+0.73%,478702
2023-08-17,186.325,186.474,185.572,185.908,-0.381,-0.20%,506518
2023-08-18,185.893,185.945,184.564,185.139,-0.769,-0.41%,497059
2023-08-21,185.409,186.663,184.896,186.56,1.421,+0.77%,247863
2023-08-22,186.526,186.767,185.539,185.763,-0.797,-0.43%,249195
2023-08-23,185.739,185.94,183.372,184.276,-1.487,-0.80%,271458
2023-08-24,184.332,184.786,183.636,183.751,-0.525,-0.28%,261048
2023-08-25,183.772,184.44,183.389,184.194,0.443,+0.24%,274433
2023-08-28,184.319,184.709,184.189,184.625,0.431,+0.23%,394316
2023-08-29,184.665,185.266,184.072,184.448,-0.177,-0.10%,471512
2023-08-30,184.447,186.065,184.36,186.035,1.587,+0.86%,486526
2023-08-31,186.04,186.045,184.088,184.422,-1.613,-0.87%,476655
2023-09-01,184.443,184.558,183.539,184.13,-0.292,-0.16%,468578
2023-09-04,184.135,185.086,183.852,184.984,0.854,+0.46%,279195
2023-09-05,184.984,185.782,184.08,185.617,0.633,+0.34%,435114
2023-09-06,185.621,185.647,184.268,184.691,-0.926,-0.50%,438426
2023-09-07,184.672,184.769,183.378,183.698,-0.993,-0.54%,416510
2023-09-08,183.715,184.469,183.076,184.17,0.472,+0.26%,445242
2023-09-11,184.408,184.408,182.688,183.369,-0.801,-0.43%,431939
2023-09-12,183.375,183.931,182.947,183.752,0.383,+0.21%,395731
2023-09-13,183.732,184.396,183.201,184.189,0.437,+0.24%,471656
2023-09-14,184.191,184.191,182.518,182.969,-1.22,-0.66%,438792
2023-09-15,183.003,183.915,182.781,183.099,0.13,+0.07%,421448
2023-09-18,182.978,183.349,182.724,182.831,-0.268,-0.15%,351659
2023-09-19,182.79,183.487,182.719,183.243,0.412,+0.23%,369155
2023-09-20,183.232,183.352,182.465,183.12,-0.123,-0.07%,450547
2023-09-21,183.122,183.122,180.926,181.418,-1.702,-0.93%,450156
2023-09-22,181.454,182.303,181.212,181.553,0.135,+0.07%,460056
2023-09-25,182.275,182.275,181.417,181.828,0.275,+0.15%,381786
2023-09-26,181.809,181.833,181.048,181.216,-0.612,-0.34%,427729
2023-09-27,181.234,181.68,180.893,181.59,0.374,+0.21%,432690
2023-09-28,181.592,182.434,181.061,182.192,0.602,+0.33%,465258
2023-09-29,182.202,183.02,181.89,182.251,0.059,+0.03%,474296
2023-10-02,182.275,182.819,181.125,181.151,-1.1,-0.60%,403592
2023-10-03,181.132,181.374,178.192,180.036,-1.115,-0.62%,475239
2023-10-04,179.979,181.255,179.567,180.994,0.958,+0.53%,482118
2023-10-05,180.98,181.078,180.301,181.073,0.079,+0.04%,477070
2023-10-06,181.069,182.986,180.848,182.644,1.571,+0.87%,480076
2023-10-09,181.923,182.318,181.264,181.73,-0.914,-0.50%,417477
2023-10-10,181.743,182.779,181.55,182.73,1,+0.55%,452538
2023-10-11,182.711,183.75,182.489,183.7,0.97,+0.53%,439578
2023-10-12,183.672,183.82,182.332,182.379,-1.321,-0.72%,437715
2023-10-13,182.398,182.94,181.273,181.561,-0.818,-0.45%,442333
2023-10-16,181.41,182.744,181.371,182.699,1.138,+0.63%,369586
2023-10-17,182.672,182.804,181.104,182.506,-0.193,-0.11%,398796
2023-10-18,182.525,182.817,181.867,182.021,-0.485,-0.27%,336493
2023-10-19,182.017,182.517,181.179,181.883,-0.138,-0.08%,311022
2023-10-20,181.902,182.376,181.304,182.31,0.427,+0.23%,278752
2023-10-23,182.133,183.426,182.086,183.351,1.041,+0.57%,247182
2023-10-24,183.378,183.753,182.059,182.257,-1.094,-0.60%,315973
2023-10-25,182.294,182.454,181.637,181.947,-0.31,-0.17%,305700
2023-10-26,181.945,182.576,181.224,182.399,0.452,+0.25%,342958
2023-10-27,182.401,182.519,181.05,181.397,-1.002,-0.55%,337533
2023-10-30,181.593,181.878,180.773,181.425,0.028,+0.02%,293326
2023-10-31,181.426,184.276,181.336,184.259,2.834,+1.56%,343836
2023-11-01,184.306,184.315,182.955,183.415,-0.844,-0.46%,362906
2023-11-02,183.44,183.724,182.75,183.611,0.196,+0.11%,335304
2023-11-03,183.62,185.018,183.246,184.935,1.324,+0.72%,334837
2023-11-06,184.82,185.958,184.801,185.206,0.271,+0.15%,292532
2023-11-07,185.249,185.46,184.655,184.958,-0.248,-0.13%,308417
2023-11-08,184.957,185.672,184.553,185.491,0.533,+0.29%,290955
2023-11-09,185.473,185.899,184.849,184.998,-0.493,-0.27%,315800
2023-11-10,184.995,185.34,184.64,185.221,0.223,+0.12%,291930
2023-11-13,185.04,186.326,185.03,186.297,1.076,+0.58%,249966
2023-11-14,186.298,188.291,186.094,187.967,1.67,+0.90%,290200
2023-11-15,187.956,188.237,187.206,187.936,-0.031,-0.02%,303233
2023-11-16,187.959,187.981,186.833,187.131,-0.805,-0.43%,295962
2023-11-17,187.117,187.15,185.331,186.49,-0.641,-0.34%,311319
2023-11-20,186.244,186.786,184.636,185.593,-0.897,-0.48%,309823
2023-11-21,185.557,186.099,184.476,186.037,0.444,+0.24%,333233
2023-11-22,186.076,187.024,185.642,186.862,0.825,+0.44%,325525
2023-11-23,186.835,187.591,186.291,187.48,0.618,+0.33%,234547
2023-11-24,187.467,188.66,187.112,188.398,0.918,+0.49%,257171
2023-11-27,188.212,188.524,187.612,187.764,-0.634,-0.34%,298561
2023-11-28,187.755,187.874,187.071,187.231,-0.533,-0.28%,344262
2023-11-29,187.21,187.535,186.637,186.91,-0.321,-0.17%,374041
2023-11-30,186.918,187.566,186.244,187.099,0.189,+0.10%,372189
2023-12-01,187.084,187.516,186.195,186.632,-0.467,-0.25%,376822
2023-12-04,186.145,186.449,185.081,185.969,-0.663,-0.36%,347050
2023-12-05,185.973,186.182,185.069,185.355,-0.614,-0.33%,361467
2023-12-06,185.348,185.807,184.995,185.024,-0.331,-0.18%,321431
2023-12-07,185.012,185.013,178.628,181.488,-3.536,-1.91%,432190
2023-12-08,181.52,182.043,179.561,181.95,0.462,+0.25%,440787
2023-12-11,181.773,184.321,181.706,183.524,1.574,+0.87%,330757
2023-12-12,183.51,183.57,182.278,182.732,-0.792,-0.43%,345720
2023-12-13,182.733,183.147,180.201,180.288,-2.444,-1.34%,382713
2023-12-14,180.288,181.22,178.368,181.144,0.856,+0.47%,475879
2023-12-15,181.142,181.738,179.829,180.196,-0.948,-0.52%,424046
2023-12-18,180.403,181.179,180.191,180.62,0.424,+0.24%,337832
2023-12-19,180.58,184.176,180.048,183.13,2.51,+1.39%,372166
2023-12-20,183.14,183.338,181.285,181.436,-1.694,-0.93%,365028
2023-12-21,181.44,181.467,179.791,180.345,-1.091,-0.60%,358489
2023-12-22,180.338,181.363,179.977,180.91,0.565,+0.31%,336184
2023-12-25,181.029,181.029,181.011,181.012,0.102,+0.06%,3
2023-12-26,180.988,181.303,180.517,181.177,0.165,+0.09%,248560
2023-12-27,181.197,182.189,181.099,181.522,0.345,+0.19%,309048
2023-12-28,181.517,181.517,179.008,180.053,-1.469,-0.81%,329157
2023-12-29,180.052,180.532,179.317,179.546,-0.507,-0.28%,327914
2024-01-01,179.401,179.401,179.401,179.401,-0.145,-0.08%,0
2024-01-02,179.4,180.646,178.746,179.17,-0.231,-0.13%,357858
2024-01-03,179.171,181.755,179.095,181.471,2.301,+1.28%,379760
2024-01-04,181.478,183.785,181.021,183.415,1.944,+1.07%,365501
2024-01-05,183.414,184.314,183.335,183.935,0.52,+0.28%,402579
2024-01-08,184.107,184.222,183.025,183.864,-0.071,-0.04%,333486
