Time,Open,High,Low,Latest,Change,%Change,Volume
23/05/2001,0.8647,0.8661,0.8549,0.8568,-0.0079,-0.91%,0
24/05/2001,0.8568,0.8609,0.8504,0.856,-0.0008,-0.09%,0
25/05/2001,0.8558,0.8625,0.8543,0.8604,0.0044,0.51%,0
28/05/2001,0.8605,0.8607,0.858,0.8605,0.0001,0.01%,0
29/05/2001,0.86,0.8614,0.8531,0.8552,-0.0053,-0.62%,0
30/05/2001,0.8551,0.859,0.8537,0.8568,0.0016,0.19%,0
31/05/2001,0.8567,0.8567,0.8442,0.8458,-0.011,-1.28%,0
1/06/2001,0.8453,0.8494,0.8436,0.846,0.0002,0.02%,0
4/06/2001,0.8467,0.8536,0.8443,0.8462,0.0002,0.02%,0
5/06/2001,0.8462,0.8548,0.8428,0.8542,0.008,0.95%,0
6/06/2001,0.8538,0.8566,0.845,0.8482,-0.006,-0.70%,0
7/06/2001,0.8482,0.8514,0.846,0.8502,0.002,0.24%,0
8/06/2001,0.8506,0.8518,0.8461,0.8504,0.0002,0.02%,0
11/06/2001,0.8502,0.8538,0.8414,0.843,-0.0074,-0.87%,0
12/06/2001,0.8432,0.8537,0.8418,0.8536,0.0106,1.26%,0
13/06/2001,0.8533,0.8566,0.8513,0.8545,0.0009,0.11%,0
14/06/2001,0.8546,0.8633,0.849,0.8625,0.008,0.94%,0
15/06/2001,0.8625,0.8669,0.8603,0.861,-0.0015,-0.17%,0
18/06/2001,0.8612,0.8645,0.8578,0.8612,0.0002,0.02%,0
19/06/2001,0.8608,0.8618,0.8529,0.8535,-0.0077,-0.89%,0
20/06/2001,0.8532,0.8556,0.8499,0.8547,0.0012,0.14%,0
21/06/2001,0.8544,0.8584,0.8519,0.8548,0.0001,0.01%,0
22/06/2001,0.8543,0.8575,0.8513,0.8571,0.0023,0.27%,0
25/06/2001,0.8564,0.8624,0.8564,0.8591,0.002,0.23%,0
26/06/2001,0.8592,0.865,0.8587,0.8631,0.004,0.47%,0
27/06/2001,0.8631,0.8659,0.8589,0.8593,-0.0038,-0.44%,0
28/06/2001,0.8594,0.8616,0.8433,0.8439,-0.0154,-1.79%,0
29/06/2001,0.8434,0.8493,0.8434,0.8493,0.0054,0.64%,0
2/07/2001,0.8491,0.8514,0.8442,0.8471,-0.0022,-0.26%,0
3/07/2001,0.8467,0.8508,0.8457,0.8477,0.0006,0.07%,0
4/07/2001,0.8481,0.8508,0.8436,0.8465,-0.0012,-0.14%,0
5/07/2001,0.8476,0.848,0.8359,0.8369,-0.0096,-1.13%,0
6/07/2001,0.8365,0.8478,0.8352,0.8469,0.01,1.19%,0
9/07/2001,0.8471,0.8516,0.8448,0.8512,0.0043,0.51%,0
10/07/2001,0.8504,0.8572,0.849,0.855,0.0038,0.45%,0
11/07/2001,0.8548,0.8642,0.8535,0.8598,0.0048,0.56%,0
12/07/2001,0.8594,0.8596,0.8507,0.8536,-0.0062,-0.72%,0
13/07/2001,0.8535,0.856,0.8512,0.8547,0.0011,0.13%,0
16/07/2001,0.8542,0.8595,0.8529,0.8529,-0.0018,-0.21%,0
17/07/2001,0.8527,0.8607,0.8494,0.8588,0.0059,0.69%,0
18/07/2001,0.8587,0.8741,0.8572,0.8731,0.0143,1.67%,0
19/07/2001,0.8741,0.8785,0.8679,0.8704,-0.0027,-0.31%,0
20/07/2001,0.8704,0.8785,0.8704,0.8714,0.001,0.11%,0
23/07/2001,0.8717,0.8722,0.8652,0.8685,-0.0029,-0.33%,0
24/07/2001,0.8688,0.877,0.8688,0.8746,0.0061,0.70%,0
25/07/2001,0.8741,0.8811,0.8714,0.8803,0.0057,0.65%,0
26/07/2001,0.8805,0.8821,0.8751,0.878,-0.0023,-0.26%,0
27/07/2001,0.8778,0.8804,0.8727,0.8777,-0.0003,-0.03%,0
30/07/2001,0.8772,0.8772,0.8726,0.8742,-0.0035,-0.40%,0
31/07/2001,0.874,0.8777,0.8723,0.8756,0.0014,0.16%,0
1/08/2001,0.8755,0.883,0.8755,0.881,0.0054,0.62%,0
2/08/2001,0.8812,0.884,0.8788,0.8834,0.0024,0.27%,0
3/08/2001,0.8834,0.8876,0.8786,0.8839,0.0005,0.06%,0
6/08/2001,0.8843,0.8843,0.8789,0.8816,-0.0023,-0.26%,0
7/08/2001,0.8817,0.8818,0.8754,0.8774,-0.0042,-0.48%,0
8/08/2001,0.8772,0.8807,0.874,0.8802,0.0028,0.32%,0
9/08/2001,0.8803,0.894,0.8803,0.8921,0.0119,1.35%,0
10/08/2001,0.8921,0.8957,0.8912,0.893,0.0009,0.10%,0
13/08/2001,0.8936,0.9007,0.8925,0.8959,0.0029,0.32%,0
14/08/2001,0.8963,0.9034,0.8941,0.9029,0.007,0.78%,0
15/08/2001,0.903,0.915,0.9019,0.9148,0.0119,1.32%,0
16/08/2001,0.9144,0.9198,0.9098,0.9119,-0.0029,-0.32%,0
17/08/2001,0.9121,0.9182,0.9104,0.918,0.0061,0.67%,0
20/08/2001,0.9198,0.9199,0.9113,0.9143,-0.0037,-0.40%,0
21/08/2001,0.9143,0.9181,0.9082,0.9176,0.0033,0.36%,0
22/08/2001,0.9177,0.9237,0.9139,0.9148,-0.0028,-0.31%,0
23/08/2001,0.9146,0.9166,0.9101,0.9151,0.0003,0.03%,0
24/08/2001,0.9151,0.9165,0.9081,0.9137,-0.0014,-0.15%,0
27/08/2001,0.9132,0.9144,0.9087,0.9112,-0.0025,-0.27%,0
28/08/2001,0.9114,0.9129,0.9029,0.9122,0.001,0.11%,0
29/08/2001,0.912,0.915,0.9088,0.909,-0.0032,-0.35%,0
30/08/2001,0.9092,0.9183,0.906,0.9161,0.0071,0.78%,0
31/08/2001,0.9163,0.9196,0.9069,0.9125,-0.0036,-0.39%,0
3/09/2001,0.9102,0.9102,0.9058,0.9071,-0.0054,-0.59%,0
4/09/2001,0.9072,0.9087,0.8852,0.888,-0.0191,-2.11%,0
5/09/2001,0.888,0.8911,0.885,0.885,-0.003,-0.34%,0
6/09/2001,0.8849,0.8967,0.8827,0.8964,0.0114,1.29%,0
7/09/2001,0.8961,0.9074,0.8933,0.9071,0.0107,1.19%,0
10/09/2001,0.9063,0.9079,0.8974,0.8977,-0.0094,-1.04%,0
11/09/2001,0.8979,0.9167,0.8952,0.9146,0.0169,1.88%,0
12/09/2001,0.9146,0.9149,0.9015,0.9069,-0.0077,-0.84%,0
13/09/2001,0.9069,0.9123,0.9049,0.9113,0.0044,0.49%,0
14/09/2001,0.9115,0.9246,0.9083,0.921,0.0097,1.06%,0
17/09/2001,0.921,0.933,0.9176,0.9235,0.0025,0.27%,0
18/09/2001,0.9241,0.9281,0.9191,0.9273,0.0038,0.41%,0
19/09/2001,0.927,0.9323,0.9234,0.9275,0.0002,0.02%,0
20/09/2001,0.9275,0.9293,0.923,0.9269,-0.0006,-0.06%,0
21/09/2001,0.9276,0.928,0.9094,0.9147,-0.0122,-1.32%,0
24/09/2001,0.9144,0.9197,0.9109,0.9167,0.002,0.22%,0
25/09/2001,0.9166,0.9247,0.9149,0.9223,0.0056,0.61%,0
26/09/2001,0.9228,0.9243,0.9198,0.923,0.0007,0.08%,0
27/09/2001,0.9227,0.9233,0.9163,0.9178,-0.0052,-0.56%,0
28/09/2001,0.9179,0.9182,0.9084,0.9112,-0.0066,-0.72%,0
1/10/2001,0.91,0.9177,0.9057,0.9176,0.0064,0.70%,0
2/10/2001,0.9169,0.9197,0.9129,0.9191,0.0015,0.16%,0
3/10/2001,0.9181,0.9235,0.9124,0.9147,-0.0044,-0.48%,0
4/10/2001,0.9141,0.9185,0.9107,0.9181,0.0034,0.37%,0
5/10/2001,0.9177,0.9207,0.9153,0.9186,0.0005,0.05%,0
8/10/2001,0.918,0.9244,0.9161,0.9213,0.0027,0.29%,0
9/10/2001,0.9206,0.9226,0.9123,0.9132,-0.0081,-0.88%,0
10/10/2001,0.9128,0.9158,0.9098,0.9112,-0.002,-0.22%,0
11/10/2001,0.9106,0.9122,0.8984,0.9025,-0.0087,-0.95%,0
12/10/2001,0.9025,0.9125,0.901,0.9116,0.0091,1.01%,0
15/10/2001,0.9115,0.9137,0.9063,0.9095,-0.0021,-0.23%,0
16/10/2001,0.9083,0.9112,0.9034,0.9083,-0.0012,-0.13%,0
17/10/2001,0.9084,0.9092,0.9009,0.9038,-0.0045,-0.50%,0
18/10/2001,0.9028,0.9056,0.9,0.9029,-0.0009,-0.10%,0
19/10/2001,0.9031,0.9034,0.8962,0.8992,-0.0037,-0.41%,0
22/10/2001,0.8981,0.9002,0.8893,0.8923,-0.0069,-0.77%,0
23/10/2001,0.8909,0.8927,0.8865,0.8903,-0.002,-0.22%,0
24/10/2001,0.8903,0.8944,0.8892,0.8941,0.0038,0.43%,0
25/10/2001,0.8938,0.8979,0.8876,0.8925,-0.0016,-0.18%,0
26/10/2001,0.8922,0.895,0.89,0.8933,0.0008,0.09%,0
29/10/2001,0.8925,0.905,0.892,0.9048,0.0115,1.29%,0
30/10/2001,0.9046,0.9101,0.9028,0.9046,-0.0002,-0.02%,0
31/10/2001,0.9044,0.9077,0.8983,0.8998,-0.0048,-0.53%,0
1/11/2001,0.9005,0.912,0.899,0.9027,0.0029,0.32%,0
